---,ObjectModel,Category,Icon,SubCategory,SocketClassIDs,PlugClassIDs,NiceName,bShowInDrawer,VariantOf
^BASE_GRASS7,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_GRASS7.BASE_GRASS7'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_GRASS7.BASE_GRASS7'","Decorative Plants","","","ANTLER GRASS","True","None"
^BASE_HOTPLANT01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOTPLANT01.BASE_HOTPLANT01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOTPLANT01.BASE_HOTPLANT01'","Decorative Plants","","(""PROP"")","SAIL PALM","True","None"
^BASE_HOTPLANT02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOTPLANT02.BASE_HOTPLANT02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOTPLANT02.BASE_HOTPLANT02'","Decorative Plants","","(""PROP"")","GLOBE TREE","True","None"
^BASE_HOTPLANT03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOTPLANT03.BASE_HOTPLANT03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOTPLANT03.BASE_HOTPLANT03'","Decorative Plants","","(""PROP"")","ROCK GARDEN","True","None"
^BASE_HOUDINI1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOUDINI1.BASE_HOUDINI1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOUDINI1.BASE_HOUDINI1'","Decorative Plants","","(""PROP"")","CHITINOUS CAGE","True","None"
^BASE_HOUDINI2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOUDINI2.BASE_HOUDINI2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOUDINI2.BASE_HOUDINI2'","Decorative Plants","","(""PROP"")","PROTEA WHEEL","True","None"
^BASE_HOUDINI3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HOUDINI3.BASE_HOUDINI3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HOUDINI3.BASE_HOUDINI3'","Decorative Plants","","(""PROP"")","VIGILANT TARO","True","None"
^BASE_HYDROPOD,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_HYDROPOD.BASE_HYDROPOD'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_HYDROPOD.BASE_HYDROPOD'","Planetary Glitches","","(""PROP"")","CALCISHROOM","True","None"
^BASE_INFEST1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_INFEST1.BASE_INFEST1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_INFEST1.BASE_INFEST1'","Decorative Plants","","(""PROP"")","VOID HUSK","True","None"
^BASE_INFEST2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_INFEST2.BASE_INFEST2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_INFEST2.BASE_INFEST2'","Decorative Plants","","(""PROP"")","PLATE STEM","True","None"
^BASE_INFEST3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_INFEST3.BASE_INFEST3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_INFEST3.BASE_INFEST3'","Decorative Plants","","(""PROP"")","COMPOUND BULB","True","None"
^BASE_LAVA1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_LAVA1.BASE_LAVA1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_LAVA1.BASE_LAVA1'","Decorative Plants","","(""PROP"")","IGNEOUS CRYSTAL","True","None"
^BASE_LAVA2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_LAVA2.BASE_LAVA2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_LAVA2.BASE_LAVA2'","Decorative Plants","","(""PROP"")","IGNEOUS DROP","True","None"
^BASE_LAVA3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_LAVA3.BASE_LAVA3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_LAVA3.BASE_LAVA3'","Decorative Plants","","(""PROP"")","ARCHAIC HABITATION HEATER","True","None"
^BASE_MEDGEOMETR,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_MEDGEOMETR.BASE_MEDGEOMETR'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_MEDGEOMETR.BASE_MEDGEOMETR'","Planetary Glitches","","(""PROP"")","HEXPLATE BUSH","True","None"
^BASE_MEDPLANT01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_MEDPLANT01.BASE_MEDPLANT01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_MEDPLANT01.BASE_MEDPLANT01'","Decorative Plants","","(""PROP"")","CARNIVOROUS BUSH","True","None"
^BASE_MEDPLANT02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_MEDPLANT02.BASE_MEDPLANT02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_MEDPLANT02.BASE_MEDPLANT02'","Decorative Plants","","(""PROP"")","DWARF PALM","True","None"
^BASE_MEDPLANT03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_MEDPLANT03.BASE_MEDPLANT03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_MEDPLANT03.BASE_MEDPLANT03'","Decorative Plants","","(""PROP"")","CURIOUS CORN","True","None"
^BASE_NEXUS1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_NEXUS1.BASE_NEXUS1'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_NEXUS1.BASE_NEXUS1'","Decorative Technology","","(""PROP"")","ANTIMATTER OBSERVATION ORB","True","None"
^BASE_NEXUS2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_NEXUS2.BASE_NEXUS2'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_NEXUS2.BASE_NEXUS2'","Decorative Technology","","(""PROP"")","SYNTHESIS CORE","True","None"
^BASE_NEXUS3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_NEXUS3.BASE_NEXUS3'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_NEXUS3.BASE_NEXUS3'","Decorative Technology","","(""PROP"")","BUBBLE VAT","True","None"
^BASE_RADPLANT01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_RADPLANT01.BASE_RADPLANT01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_RADPLANT01.BASE_RADPLANT01'","Decorative Plants","","(""PROP"")","WRITHING BUSH","True","None"
^BASE_RADPLANT02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_RADPLANT02.BASE_RADPLANT02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_RADPLANT02.BASE_RADPLANT02'","Decorative Plants","","(""PROP"")","UMBRELLA TREE","True","None"
^BASE_RADPLANT03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_RADPLANT03.BASE_RADPLANT03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_RADPLANT03.BASE_RADPLANT03'","Decorative Plants","","(""PROP"")","ENTWINING TREE","True","None"
^BASE_ROBOTOY,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_ROBOTOY.BASE_ROBOTOY'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_ROBOTOY.BASE_ROBOTOY'","Planetary Glitches","","(""PROP"")","ROBOTIC COMPANION","True","None"
^BASE_ROCK01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_ROCK01.BASE_ROCK01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_ROCK01.BASE_ROCK01'","Decorative Plants","","(""PROP"")","MARINE ROCK","True","None"
^BASE_ROCK02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_ROCK02.BASE_ROCK02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_ROCK02.BASE_ROCK02'","Decorative Plants","","(""PROP"")","MINERAL ARCH","True","None"
^BASE_ROCK03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_ROCK03.BASE_ROCK03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_ROCK03.BASE_ROCK03'","Decorative Plants","","(""PROP"")","GEM-ENCRUSTED ROCK","True","None"
^BASE_SHARD,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_SHARD.BASE_SHARD'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_SHARD.BASE_SHARD'","Planetary Glitches","","(""PROP"")","GLITCHING SEPARATOR","True","None"
^BASE_SHELLWHITE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_SHELLWHITE.BASE_SHELLWHITE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_SHELLWHITE.BASE_SHELLWHITE'","Planetary Glitches","","(""PROP"")","CAPILLIARY SHELL","True","None"
^BASE_STARJOINT,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_STARJOINT.BASE_STARJOINT'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_STARJOINT.BASE_STARJOINT'","Planetary Glitches","","(""PROP"")","OSSIFIED STAR","True","None"
^BASE_SWAMP1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_SWAMP1.BASE_SWAMP1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_SWAMP1.BASE_SWAMP1'","Decorative Plants","","(""PROP"")","FLARECAP TOADSTOOL","True","None"
^BASE_SWAMP2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_SWAMP2.BASE_SWAMP2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_SWAMP2.BASE_SWAMP2'","Decorative Plants","","(""PROP"")","WIZENED STUMP","True","None"
^BASE_SWAMP3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_SWAMP3.BASE_SWAMP3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_SWAMP3.BASE_SWAMP3'","Decorative Plants","","(""PROP"")","MUD HUT","True","None"
^BASE_TERRARIUM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TERRARIUM.BASE_TERRARIUM'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TERRARIUM.BASE_TERRARIUM'","Planetary Glitches","","(""PROP"")","TERRARIUM","True","None"
^BASE_TOXPLANT01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOXPLANT01.BASE_TOXPLANT01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOXPLANT01.BASE_TOXPLANT01'","Decorative Plants","","(""PROP"")","BLISTERING MUSHROOM","True","None"
^BASE_TOXPLANT02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOXPLANT02.BASE_TOXPLANT02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOXPLANT02.BASE_TOXPLANT02'","Decorative Plants","","(""PROP"")","WATCHFUL PROTRUSION","True","None"
^BASE_TOXPLANT03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOXPLANT03.BASE_TOXPLANT03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOXPLANT03.BASE_TOXPLANT03'","Decorative Plants","","(""PROP"")","TENTACLE SPIRE","True","None"
^BASE_TOYCORE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOYCORE.BASE_TOYCORE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOYCORE.BASE_TOYCORE'","Planetary Glitches","","(""PROP"")","POCKET REALITY GENERATOR","True","None"
^BASE_TOYCUBE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOYCUBE.BASE_TOYCUBE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOYCUBE.BASE_TOYCUBE'","Planetary Glitches","","(""PROP"")","EXPANDING CUBE GADGET","True","None"
^BASE_TOYJELLY,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOYJELLY.BASE_TOYJELLY'","Furnishings","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOYJELLY.BASE_TOYJELLY'","Decorative Technology","","(""PROP"")","WRIGGLING COMPANION","True","None"
^BASE_TOYSPHERE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TOYSPHERE.BASE_TOYSPHERE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TOYSPHERE.BASE_TOYSPHERE'","Planetary Glitches","","(""PROP"")","HOLOGRAPHIC GLOBE GADGET","True","None"
^BASE_TREE01,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TREE01.BASE_TREE01'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TREE01.BASE_TREE01'","Decorative Plants","","(""PROP"")","FRUIT TREE","True","None"
^BASE_TREE02,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TREE02.BASE_TREE02'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TREE02.BASE_TREE02'","Decorative Plants","","(""PROP"")","SPINDLE TREE","True","None"
^BASE_TREE03,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_TREE03.BASE_TREE03'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_TREE03.BASE_TREE03'","Decorative Plants","","(""PROP"")","EVERGREEN TREE","True","None"
^BASE_WEIRDCUBE,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_WEIRDCUBE.BASE_WEIRDCUBE'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_WEIRDCUBE.BASE_WEIRDCUBE'","Planetary Glitches","","(""PROP"")","ELECTRIC CUBE","True","None"
^BASE_WPLANT1,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_WPLANT1.BASE_WPLANT1'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_WPLANT1.BASE_WPLANT1'","Decorative Plants","","(""PROP"")","CURLY CORAL","True","None"
^BASE_WPLANT2,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_WPLANT2.BASE_WPLANT2'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_WPLANT2.BASE_WPLANT2'","Decorative Plants","","(""PROP"")","AQUATIC CRYSTAL","True","None"
^BASE_WPLANT3,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BASE_WPLANT3.BASE_WPLANT3'","Exotic Decorations","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BASE_WPLANT3.BASE_WPLANT3'","Decorative Plants","","(""PROP"")","CANDELABRA BLOOM","True","None"
^BIOROOM,"StaticMesh'/Game/NMSBaseBuilder/Features/Models/BIOROOM.BIOROOM'","Large Structures","Texture2D'/Game/NMSBaseBuilder/Features/UI/Icons/BIOROOM.BIOROOM'","Rooms and Foundations","","","BIO-DOME","True","None"
